_id,Study,ClimateParam,Coastal Infrastructure,Roads & Assoc. Infras,Bridges,Wastewater,Solid Waste,Stormwater,Potable Water,Nature based structures,Buildings,Fuel,Electrical,Airport Infrastructure,Mechanical,Dam,Personnel
0,Prism Engineering (2020) (BC) (Penticton),Temperature,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1,Prism Engineering (2020) (BC) (Penticton),Snow,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2,Prism Engineering (2020) (BC) (Penticton),Freeze-Thaw,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3,Prism Engineering (2020) (BC) (Penticton),Frost,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
4,Prism Engineering (2020) (BC) (Penticton),Heavy Precipitation,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
5,Prism Engineering (2020) (BC) (Penticton),Rain frequency,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
6,Prism Engineering (2020) (BC) (Penticton),Freezing Rain,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7,Prism Engineering (2020) (BC) (Penticton),Blowing Snow,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
8,Prism Engineering (2020) (BC) (Penticton),Air Pollution,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
9,Prism Engineering (2020) (BC) (Penticton),Fire,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10,Prism Engineering (2020) (BC) (Penticton),Warmer Winters,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,Prism Engineering (2020) (BC) (Penticton),Drought,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
12,Prism Engineering (2020) (BC) (Penticton),Heatwave & Humidity,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
13,Prism Engineering (2020) (BC) (Penticton),Contaminated Water,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
14,Prism Engineering (2020) (BC) (Penticton),Flooding,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
