_id,Infrastructure Layer 1,Infrastructure Layer 2,Components,Description
0,Coastal Infrastructure,Electrical,Generator,Backup diesel generator and associated equipment
1,Coastal Infrastructure,Electrical,Lighting,"Assets including light tower, lights and light stands"
2,Coastal Infrastructure,Potable Water,Hydrants,Fresh water distribution system and fire hydrants
3,Coastal Infrastructure,Wharf,Holidy island wharf,It consists of a steel pipe pile structure supported with concrete pile caps connected with steel members that support a concrete deck
4,Coastal Infrastructure,Building,Operations,The building houses hydraulic and electrical equipments and control tower.
5,Coastal Infrastructure,Building,Phone Booth,Phone Booth
6,Coastal Infrastructure,Transportation Corridor,Transportation Corridor,River/Stream
7,Coastal Infrastructure,Petroleum,above ground tank,NAN
8,Coastal Infrastructure,Scour Pads,Scour Pads,"It is used to remove sand and rock sediment around piers, cribs, etc."
9,Coastal Infrastructure,Earth Berm,Containmen cell,NAN
10,Roads & Assoc. Infras,Lighting,NAN,Traffic lights and street lights
11,Roads & Assoc. Infras,Guard Rails,NAN,NAN
12,Bridges,Roads & Assoc. Infrastructure,NAN,Structural condition of pavement and guardrails
13,Wastewater,Wastewater Treatment Plant,Oxidation ditches,NAN
14,Wastewater,Wastewater Treatment Plant,Solids Dewatering,NAN
15,Wastewater,Wastewater Treatment Plant,Mechanical,HVAC systems in buildings
16,Wastewater,Sanitary Sewer Main,NAN,NAN
17,Wastewater,SCADA System,NAN,Instrumentation for monitoring of water levels
18,Wastewater,Piping,NAN,Conveyance system such as forcemains and gravity sewer collection
19,Potable Water,Cistern,NAN,It is constructed of circular concrete sections buried in the ground with a concrete cap. Water is pumped from the cistern to the residence through buried pipes.
20,Potable Water,SCADA System,NAN,A system that is used to maintain a set pressure in the distribution system
21,Potable Water,Hydrants,NAN,NAN
22,Potable Water,O & M,NAN,NAN
23,Stormwater,Stormwater Sewer,NAN,Piped drainage systems that are desinged to convey runoff
24,Stormwater,Flow Control,NAN,"Infiltration system, facilities to control flow rates within a drainage system"
25,Stormwater,Outfall,NAN,Structures where runoff is dischared from a drainage system to a receiving water
26,Nature based structures,Shores,NAN,NAN
27,Nature based structures,Water Body,NAN,Wet surfaces such as lagoon
28,Nature based structures,Walking Path,NAN,Walking paths in nature-based areas
29,Nature based structures,Graveyard,NAN,NAN
30,Fuel,Fuel Supply,NAN,NAN
31,Airport Infrastructure,Building,Control Tower,NAN
32,Airport Infrastructure,Building,Fire Station,NAN
33,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Concrete and asphalt surfaces constructed to handle use by aircraft and associated loading
34,Airport Infrastructure,Roads & Assoc. Infras,Apron,Concrete and asphalt surfaces constructed to handle use by aircraft and associated loading
35,Airport Infrastructure,Electrical,Distribution & Transmission,"Distribution equipment,utility,transformers Distribution lines & poles, distribution panel"
36,Airport Infrastructure,Electrical,Security System,"Systems such as cameras, access card, CCTV"
37,Airport Infrastructure,Electrical,Lighting,NAN
38,Airport Infrastructure,Mechanical,Heating System,"Boilers, venting, Gas unit heaters"
39,Airport Infrastructure,Water systems,Stormwater,"The drainage systems, berms, ditches and culverts"
40,Airport Infrastructure,Nature based structures,Wildlife,NAN
41,Electrical,Generation,NAN,"Power plant, solar farm"
42,Electrical,Solar Farm,Energy Storage,NAN
43,Mechanical,HVAC,NAN,"Condensing units, AC units, Roof units (AHU), Split system AC, Cooling coils, Central HVAC system"
44,Mechanical,Heating System,NAN,"Boilers, venting, Gas unit heaters"
45,Mechanical,Cooling System,NAN,NAN
46,Dam,Gate House,NAN,Structure in which values used to control flow to the generating station are housed
47,Dam,O & M,NAN,NAN
48,Emergency Response,Emergency Measures,NAN,Procedures and systems to address during occurance of climate hazards
49,Weather Station,Weather Station,NAN,NAN
50,Coastal Infrastructure,Electrical,Fire protection system,Piping runs along roadway
51,Coastal Infrastructure,Electrical,Cameras,Cameras throughout the site
52,Coastal Infrastructure,Wastewater,Wastewater treatment plant,System that treats sanitary effluent from the facility
53,Coastal Infrastructure,Building,Terminal Building,"The building houses a passenger waiting area, cafeteria, and offices"
54,Coastal Infrastructure,Building,Trailers,"Buildings with no foundation, sits on blocking"
55,Coastal Infrastructure,Roads & Assoc. Infrastructure,Service road to marshalling yard,It is an asphalt pavement roadway used for public access.
56,Coastal Infrastructure,Roads & Assoc. Infrastructure,Boardwalk,It is used to provide access to the floating docks
57,Coastal Infrastructure,Roads & Assoc. Infrastructure,Shoreline,NAN
58,Coastal Infrastructure,Roads & Assoc. Infrastructure,Rails,NAN
59,Coastal Infrastructure,Breakwaters,Breakwaters,Steel sheet piles with copewall breakwaters to protect the opening of the harbour
60,Coastal Infrastructure,Dike,Anchors,It is used to add stability for the sheet pile wall under low-water conditions
61,Coastal Infrastructure,Dike,Structural,Flood protection dike
62,Coastal Infrastructure,Ferry service,Summer/Winter berthing/departure,Operations to ferry departures or berthing 
63,Coastal Infrastructure,Ferry service,Water distribution system,Water distribution system used for tugs
64,Coastal Infrastructure,Overhead Utilities,NAN,NAN
65,Coastal Infrastructure,Dredging,NAN,NAN
66,Bridges,Structural,NAN,Structural consition of bridges and causeways
67,Wastewater,Wastewater Treatment Plant,Headworks,NAN
68,Wastewater,Wastewater Treatment Plant,Flow Measurement,NAN
69,Wastewater,Wastewater Treatment Plant,Clarifiers,NAN
70,Wastewater,Wastewater Treatment Plant,UV Disinfection,NAN
71,Wastewater,Wastewater Treatment Plant,Electerical,Power supply and communication systems
72,Wastewater,Lift Station,NAN,It is used to handle wastewater that is fed from underground gravity pipelines.
73,Potable Water,Water Treatment Plant,NAN,"A building that houses HVAC, electrical, and mechanical components and water distribution system"
74,Stormwater,O & M,NAN,NAN
75,Stormwater,Channels,NAN,Any surface conveyance system such as stream channel and open channel
76,Stormwater,Storm Detention,NAN,"It is designed to attenuate subject rainfall event and includes Dry pond, tank, over-sized pipe, stacked-box facility"
77,Stormwater,Catchment,NAN,"The area in which rainfall flows into river or lake or catchment ground surfaces such as Roads, Grass surfaces, Parking Lots, Rooftops, Weeping Tile"
78,Stormwater,Lift Station,NAN,"Lift station houses all electrical and mechanical components such as Manhole Chamber, Pump, Floats, Electrical Panel, Internal piping, Heater, and Outlet to sustain system pressures"
79,Nature based structures,Dunes,NAN,NAN
80,Nature based structures,Park and Playground,NAN,NAN
81,Buildings,School,NAN,NAN
82,Buildings,Health Center,NAN,Buildings used for hospitals and nursing station
83,Buildings,Fire Station,NAN,NAN
84,Buildings,Community center,NAN,NAN
85,Buildings,Greenhouse,NAN,NAN
86,Fuel,Fuel Storage,NAN,Fuel storage facilities or tank farms
87,Airport Infrastructure,Fuel,Fuel storage and supply,NAN
88,Airport Infrastructure,Building,Office,NAN
89,Airport Infrastructure,Roads & Assoc. Infras,Runway,Concrete and asphalt surfaces constructed to handle use by aircraft and associated loading
90,Airport Infrastructure,Roads & Assoc. Infras,Rail,Structural condition of rail network
