_id,Study,Team Member,Role,Organization
0,Prism Engineering (2020) (BC) (Penticton),Ainaz Bozorgzadeh,Project Manager,Prism Engineering
1,Prism Engineering (2020) (BC) (Penticton),Stephen Kooiman,Senior Mechanical Engineer,Prism Engineering
2,Prism Engineering (2020) (BC) (Penticton),Adam Franklin,Electrical Engineer,Prism Engineering
3,Prism Engineering (2020) (BC) (Penticton),Trevor Murdock,Climate Scientist,Pacific Climate Impacts Consortium
4,Prism Engineering (2020) (BC) (Penticton),Jim Chan,"Regional Manager, Program and Technical Services",Transport Canada
5,Prism Engineering (2020) (BC) (Penticton),Suzanne L'Heureux,"Project Lead, Environmental Services",Transport Canada
6,Stantec (2020) (ON) (Kasabonika),Guy Fï¿½ï¿,Senior Advisor,Stantec
7,Stantec (2019) (SK) (Yellow Quill),Community members attending workshops,NAN,Yellow Quill First Nation
8,Stantec (2019) (SK) (Yellow Quill),Guy Fï¿½ï¿,Senior Advisor,Stantec
9,Stantec (2019) (SK) (Yellow Quill),Riley Morris,Climate Specialist,Stantec
10,WSP (2019) (YT) (Faro),Germaine Cave,Report Author / Project Analyst,WSP Canada Inc.
11,WSP (2019) (YT) (Faro),Jean-Philippe Martin,Climate Change Risk Specialist,WSP Canada Inc.
12,Stantec (2019) (ON) (Multi),Greg Bell,"Manager, Distribution Operations",Hydro Ottawa
13,Stantec (2019) (ON) (Multi),Daniel Hegg,Climate Change Adaptation Advisor,Stantec
14,Stantec (2019) (ON) (Multi),Riley Morris,Environmental Engineer,Stantec
15,Stantec (2019) (ON) (Multi),Eric Lafleur,Senior Electrical Engineer,Stantec
16,AECOM (2019) (ON) (Toronto),Michael Antle,General Manager,PortsToronto
17,AECOM (2019) (ON) (Toronto),Alan Winter,Technical Advisor/Airports,AECOM
18,AECOM (2019) (ON) (Toronto),Derek Gray,Vulnerability Assessment Lead,AECOM
19,AECOM (2019) (ON) (Toronto),Marc Rose,Project Manager,AECOM
20,AECOM (2019) (ON) (Toronto),Milo Sturm,NAN,Shoreplan Engineering Limited
21,Stantec (2018) (ON) (Oneida),Guy Fï¿½ï¿,Senior Advisor,Stantec
22,Stantec (2018) (ON) (Moose Factory),Stan Kapashesit,Director of Economic Development,Moose Factory
23,Stantec (2018) (ON) (Moose Factory),Elmer Lickers,Senior O&M Advisor,OFNTSC
24,Stantec (2018) (ON) (Moose Factory),Guy Fï¿½ï¿,Senior Advisor,Stantec
25,Stantec (2017) (ON) (Akwesasne),John Tate Lazore,Water and Wastewater Manager,Mohawk Council of Akwesasne
26,RVA (2017) (ON) (Ottawa),Hans Arisz,Principal,RVA
27,CBCL (2020) (NS) (Caribou),NAN,NAN,UPEI-Climate Research Lab
28,CBCL (2020) (NS) (Caribou),NAN,NAN,Emergency Response Management Consulting (ERMC).
29,CBCL (2020) (QC) (Cap-aux-Meules),NAN,NAN,UPEI-Climate Research Lab
30,WSP (2019) (PEI) (Summerside),Yann Chavaillaz,Climate Change Specialist,WSP Canada Inc.
31,WSP (2019) (PEI) (Summerside),Simon Pelchat,Solar Power,WSP Canada Inc.
32,CBCL (2020) (NB) (Belledune),JH Consultants,NAN,JH Consultants
33,CBCL (2020) (NB) (Saint John),NAN,NAN,Emergency Response Management Consulting (ERMC).
34,BGC (2016) (MB) (Churchill),Nemanja Jevtovic,Providing Data,Transport Canada
35,WSP (2019) (BC) (Tofino),Elise Parï¿,Senior Project Manager,WSP Canada Inc.
36,WSP (2019) (BC) (Tofino),Al Gibb,"Project Director, Design Team",WSP Canada Inc.
37,WSP (2019) (BC) (Tofino),Tyler Barber,"Wastewater Engineer, Design Team",WSP Canada Inc.
38,WSP (2019) (BC) (Tofino),Ricardo Araya,Manager of Engineering and Public Works,District of Tofino
39,WSP (2019) (BC) (Tofino),Bob MacPherson,Chief Administrative Officer,District of Tofino
40,CIMA (2020) (QC) (Shawinigan),Laurence Blondeau Bouchard,Hydroclimatology,CIMA+
41,CIMA (2020) (QC) (Shawinigan),Franï¿½ï¿½ois Courv,Landscape Architect,CIMA+
42,CIMA (2020) (QC) (Shawinigan),Caroline Rochette-Carbonneau,Civil,CIMA+
43,CIMA (2020) (QC) (Shawinigan),Robin Beaulieu,Electerical,CIMA+
44,CIMA (2020) (QC) (Laval),Laurence Blondeau Bouchard,Hydroclimatology,CIMA+
45,Stantec (2019) (QC) (Quebec City),Gabriel Jean,NAN,BGIS
46,Prism Engineering (2020) (BC) (Penticton),David Roberts,Mechanical Engineer,Prism Engineering
47,Prism Engineering (2020) (BC) (Penticton),Dirk Nyland,Transportation Modal Expert,BC Ministry of Transportation and Infrastructure (Retired)
48,Prism Engineering (2020) (BC) (Penticton),Kimberly Keskinen,"Project Support, Environmental Services",Transport Canada
49,Prism Engineering (2020) (BC) (Penticton),Adrien Montpetit,Policy Advisor,Transport Canada
50,Stantec (2020) (ON) (Kasabonika),Mike Morris,Community Coordinator,Kasabonika Lake First Nation
51,Stantec (2020) (ON) (Kasabonika),NAN,"Chief, councillors and community members attending workshops",Kasabonika Lake First Nation
52,Stantec (2020) (ON) (Kasabonika),Elmer Lickers,Senior O&M Advisor,Ontario First Nations Technical Services Corporation
53,Novel Futures Corporation and RSI (2019) (MB) (Altona),Neil Comer,Senior Climatologist,RSI
54,Novel Futures Corporation and RSI (2019) (MB) (Altona),Simon Eng,Project Lead and Analyst,RSI
55,Stantec (2019) (SK) (Yellow Quill),Myron Neapetung,Councillor,Yellow Quill First Nation
56,Stantec (2019) (SK) (Yellow Quill),Wayne Penno,Senior Engineer,Stantec
57,Stantec (2019) (ON) (Multi),Matthew McGrath,Project Manager,Hydro Ottawa
58,Stantec (2019) (ON) (Multi),Guy Fï¿½ï¿,Climate Change Resilience Advisor,Stantec
59,Stantec (2019) (ON) (Multi),Heather Auld,Climatologist,RSI
60,Landmark (2019) (ON) (Windsor),David T. Killen,Project Principal,Landmark Engineers Inc.
61,AECOM (2019) (ON) (Toronto),Bojan Drakul,Manager ,PortsToronto
62,Stantec (2018) (ON) (Oneida),H. Grant Doxtator,Councillor,Oneida Nation of the Thames
63,Stantec (2018) (ON) (Oneida),Chanda Kennedy,Band Administrator,Oneida Nation of the Thames
64,Stantec (2018) (ON) (Oneida),Elmer Lickers,Senior O&M Advisor,OFNTSC
65,Stantec (2020) (QC) (Magdalen Islands),NAN,NAN,NAN
66,Stantec (2017) (ON) (Akwesasne),Jay Benedict,Director Technical Services,Mohawk Council of Akwesasne
67,WSP (2019) (PEI) (Summerside),Katherine Park,Development Manager,Samsung Renewable Energy
68,WSP (2019) (PEI) (Summerside),Sean Kim,Senior Manager,Samsung Renewable Energy
69,CBCL (2019) (NS) (Digby),NAN,NAN,Emergency Response Management Consulting (ERMC).
70,BGC (2016) (MB) (Churchill),Jenna Craig,Providing Data,Transport Canada
71,BGC (2016) (MB) (Churchill),Janice Festa,Providing Data,Transport Canada
72,WSP (2019) (BC) (Tofino),Jean Phillipe Martin,Climate Change Risk Specialist,WSP Canada Inc.
73,WSP (2019) (BC) (Tofino),Paul Munday,Quality Assurance,WSP Canada Inc.
74,WSP (2019) (BC) (Tofino),Brian Walker,Conveyance Upgrade Lead Designer,WSP Canada Inc.
75,WSP (2019) (BC) (Tofino),Nyla Attiana,Director of Financial Services,District of Tofino
76,CIMA (2020) (QC) (Laval),Charles Fleury-Caumartin,Mechanical,CIMA+
77,CIMA (2020) (QC) (Laval),Felipe Caldeira,Civil,CIMA+
78,CIMA (2020) (QC) (Laval),Marie-ï¿½ï¿½ve Laro,Civil,CIMA+
79,CIMA (2020) (QC) (Laval),Yves Lï¿½ï¿½ve,Structure,CIMA+
80,CIMA (2020) (QC) (Laval),Franï¿½ï¿½ois Ca,Architecture,CIMA+
81,CIMA (2020) (QC) (Laval),Franï¿½ï¿½ois Courv,Landscape Architect,CIMA+
82,CIMA (2020) (QC) (Laval),Mathieu Lemay,Hydroclimatology,CIMA+
83,Stantec (2019) (QC) (Quebec City),Steve Bernardi,NAN,Stantec
84,Stantec (2019) (QC) (Quebec City),Julie Massicotte,NAN,Stantec
85,Prism Engineering (2020) (BC) (Penticton),Alexis Doyle,Sustainability Engagement Specialist,Prism Engineering
86,Prism Engineering (2020) (BC) (Penticton),Kerri Haybittle-Raffel,"Manager, Penticton Airport",Transport Canada
87,Urban Systems (2019) (BC) (Vernon),Glen Zachary,Hydrology and Hydraulics Engineer,Urban Systems
88,Stantec (2020) (ON) (Kasabonika),Elton Mitchell Diabo,Councillor,Kasabonika Lake First Nation
89,Stantec (2020) (ON) (Kasabonika),Zoe Morrison,Planner,Stantec
90,Stantec (2019) (SK) (Yellow Quill),Lori Bradford,Assistant Professor,University of Saskatchewan
91,Stantec (2019) (ON) (Multi),Ben Hazlett,"Manager, Distribution Policies and Standards",Hydro Ottawa
92,Stantec (2019) (ON) (Multi),Nicole Flanagan,Project Manager,Stantec
93,Stantec (2019) (ON) (Multi),Simon Eng,Climate Analyst,RSI
94,AECOM (2019) (ON) (Toronto),Mike Riehl,Manager,PortsToronto
95,AECOM (2019) (ON) (Toronto),Ahmed Elhadidy,Vulnerability Assessment Technical Support,AECOM
96,AECOM (2019) (ON) (Toronto),Matthew Lee,Vulnerability Assessment Technical Support,AECOM
97,City of Thunder Bay (2019) (ON) (Thunder Bay),Amy Coomes,Sustainability Coordinator,City of Thunder Bay
98,Stantec (2018) (ON) (Oneida),Ron Elijah,I/Public Works Administrato,Oneida Nation of the Thames
99,Stantec (2018) (ON) (Moose Factory),Wayne Penno,Senior Engineer,Stantec
100,Stantec (2018) (ON) (Moose Factory),Heather Auld,Climatologist,RSI
101,Stantec (2017) (ON) (Akwesasne),Elmer Lickers,Senior O&M Advisor (Project Director),OFNTSC
102,Stantec (2017) (ON) (Akwesasne),Leslie Papineau,Technical Project Manager,Mohawk Council of Akwesasne
103,Stantec (2017) (ON) (Akwesasne),Guy Fï¿½ï¿,Senior Advisor,Stantec
104,Stantec (2017) (ON) (Akwesasne),Eric Dunford,Strategic Management Consultant,Stantec
105,Stantec (2017) (ON) (Akwesasne),Heather Auld,Climatologist,RSI
106,CBCL (2020) (PEI) (Souris),NAN,NAN,UPEI-Climate Research Lab
107,WSP (2019) (PEI) (Summerside),Ena Ristic,Climate Change Specialist,WSP Canada Inc.
108,WSP (2019) (PEI) (Summerside),Jean-Philippe Martin,Climate Change Specialist,WSP Canada Inc.
109,WSP (2019) (PEI) (Summerside),Elise Parï¿,Climate Resilience QA/QC,WSP Canada Inc.
110,WSP (2019) (PEI) (Summerside),Alexandre Pï¿½ï¿½pin-,Solar Power,WSP Canada Inc.
111,WSP (2019) (PEI) (Summerside),Greg Gaudet,Director of Municipal Services,City of Summerside
112,WSP (2019) (PEI) (Summerside),Mike Thususka,Director of Economic Development,City of Summerside
113,CBCL (2020) (NB) (Belledune),Roy Consultants,NAN,Roy Consultants
114,CBCL (2020) (NB) (Saint John),NAN,NAN,UPEI-Climate Research Lab
115,KWL (2019) (BC) (Squamish),Robin Hawker,NAN,KWL
116,WSP (2019) (BC) (Tofino),Carol Campbell,Report Author,WSP Canada Inc.
117,WSP (2019) (BC) (Tofino),Aline Bennett,Design Team Project Coordinator,WSP Canada Inc.
118,WSP (2019) (BC) (Tofino),Roger Warren,"Project Manager, Design Team",WSP Canada Inc.
119,WSP (2019) (BC) (Tofino),Keith Orchisto,Emergency Program Coordinator,District of Tofino
120,CIMA (2020) (QC) (Shawinigan),Marie-Frï¿½ï¿½dï¿½ï¿½rique,Project Coordinator,CIMA+
121,CIMA (2020) (QC) (Shawinigan),Martin St-Laurent,Civil,CIMA+
122,CIMA (2020) (QC) (Laval),Svetlana Zdanovich,Mechanical,CIMA+
123,CIMA (2020) (QC) (Laval),Robin Beaulieu,Electerical,CIMA+
124,CIMA (2020) (QC) (Laval),Steve Godin,Structure,CIMA+
125,Stantec (2019) (QC) (Quebec City),Laure Gï¿½ï¿½,NAN,SPAC
126,Stantec (2019) (QC) (Quebec City),Louis Cotte,NAN,SPAC
127,Stantec (2019) (QC) (Quebec City),Natalie Bleau,NAN,Ouranos
128,Prism Engineering (2020) (BC) (Penticton),Stephen Lai,Programs Implementation Manager,Transport Canada
129,Prism Engineering (2020) (BC) (Penticton),Allison Kader,"Policy Analyst, Environmental Policy",Transport Canada
130,Stantec (2020) (ON) (Kasabonika),Operations and Maintenance staff,O & M,Kasabonika Lake First Nation
131,Stantec (2020) (ON) (Kasabonika),Wayne Penno,Senior Engineer,Stantec
132,Stantec (2020) (ON) (Kasabonika),Heather Auld,Climatologist,RSI
133,Novel Futures Corporation and RSI (2019) (MB) (Altona),Darren Swanson,Project Principal,Novel Futures
134,CBCL (2020) (PEI) (Wood Islands),NAN,NAN,UPEI Climate Research Lab
135,CBCL (2020) (PEI) (Wood Islands),NAN,NAN,Emergency Response Management Consulting (ERMC).
136,Stantec (2019) (SK) (Yellow Quill),Lalita Bharadwaj,Associate Professor,University of Saskatchewan
137,Stantec (2019) (SK) (Yellow Quill),Elmer Lickers,Senior O&M Advisor,Ontario First Nations Technical Services Corporation
138,WSP (2019) (YT) (Faro),Elise Parï¿,Project Principal / PIEVC Protocol Advisor,WSP Canada Inc.
139,WSP (2019) (YT) (Faro),Virginia Sarrazin,Project Manager,WSP Canada Inc.
140,WSP (2019) (YT) (Faro),Ena Ristic,Climate Change Scientist,WSP Canada Inc.
141,WSP (2019) (YT) (Faro),Brian Mowry,Civil and Municipal Infrastructure Specialist,WSP Canada Inc.
142,Stantec (2019) (ON) (Multi),Ed Donkersteeg,Supervisor - Standards,Hydro Ottawa
143,Stantec (2019) (ON) (Multi),Norman Shippee,Climatologist,RSI
144,Stantec (2019) (ON) (Multi),Katherine Pingree-Shippee,Climatologist,RSI
145,AECOM (2019) (ON) (Toronto),Christopher Sawicki,Vice President,PortsToronto
