,_id,Study,Infrastructure,Recommendation
0,0,Prism Engineering (2020) (BC) (Penticton),Transportation,Assess existing storm drainage and drainage capacity
1,1,Prism Engineering (2020) (BC) (Penticton),Electrical,Review and Test Grounding Infrastructure
2,2,Prism Engineering (2020) (BC) (Penticton),Transportation,Upgarde storm drainage to a level capable of handling future anticipated volumes of precipitation
3,3,Prism Engineering (2020) (BC) (Penticton),Electrical,Conduct thermal scanning of electrical panel boards
4,4,Prism Engineering (2020) (BC) (Penticton),Electrical,Inspect light standards
5,5,Prism Engineering (2020) (BC) (Penticton),Electrical,Repair/Replace electrical components
6,6,Urban Systems (2019) (BC) (Vernon),Stormwater,Estimate the potential increase to freshet flow rates using hydrologic modeling
7,7,Stantec (2020) (ON) (Kasabonika),Support Infrastructure,Research the potential impacts of Heat Wave on the lagoon function effectiveness
8,8,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Clear trees and branches around wire pathways
9,9,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Include possible closure of airport in community emergency response plan
10,10,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Develop community policy to regulate/stop burning when fire risks are high
11,11,Novel Futures Corporation and RSI (2019) (MB) (Altona),Drainage Infrastructure,Installation of a lift station at the 2nd Street NE and 4th Ave NE Intersection
12,12,Novel Futures Corporation and RSI (2019) (MB) (Altona),Drainage Infrastructure,"Steaming of pipes as per usual operation and maintenance, with enhanced weekly monitoring of ice build up conditions"
13,13,Novel Futures Corporation and RSI (2019) (MB) (Altona),Drainage Infrastructure,Monitoring of grates during high wind events and clearing as needed
14,14,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,"Use adaptive design approach, i.e. accommodate range of water levels and wave heights expected during the design life"
15,15,CBCL (2020) (PEI) (Wood Islands),Supporting and O&M Infrastructure,Continue existing practices. Review the two vessels estimated residual lives to determine vessel replacement timeline
16,16,CBCL (2020) (PEI) (Wood Islands),Supporting and O&M Infrastructure,Continue regular bathymetric survey monitoring
17,17,Stantec (2019) (SK) (Yellow Quill),HVAC Systems,Perform regular O&M to maintain HVAC system in optimal operation condition
18,18,Stantec (2019) (SK) (Yellow Quill),HVAC Systems,Have emergency back-up power system
19,19,Stantec (2019) (SK) (Yellow Quill),Water & Wastewater systems,Mark hydrants and valve for easy location during heavy snow and drifting
20,20,Stantec (2019) (SK) (Yellow Quill),Buildings,Plant shade trees around houses and buildings to provide a natural barrier to solar heating
21,21,WSP (2019) (YT) (Faro),Wastewater,Relocation of the sanitary sewer main under the utility road south of Dawson Drive away from the cliff edge
22,22,WSP (2019) (YT) (Faro),General,Installation of super pipe in areas of permafrost
23,23,WSP (2019) (YT) (Faro),General,Erosion control of the bank(s). Geotechnical engineer to recommended site specific slope protection
24,24,Stantec (2019) (ON) (Multi),NAN,NAN
25,25,Landmark (2019) (ON) (Windsor),Dike,The City should also include an item in its operating budget for regular maintenance and repair of the diking system and any new backflow prevention measures
26,26,CBCL (2020) (QC) (Cap-aux-Meules),NAN,NAN
27,27,WSP (2019) (PEI) (Summerside),NAN,NAN
28,28,CBCL (2019) (NS) (Digby),NAN,NAN
29,29,Prism Engineering (2020) (BC) (Penticton),Electrical,Capital plan for equipment replacements
30,30,Prism Engineering (2020) (BC) (Penticton),Mechanical,Conduct engineering heat load analysis of ATB electrical room
31,31,Prism Engineering (2020) (BC) (Penticton),Mechanical,Capital plan for equipment replacements
32,32,Prism Engineering (2020) (BC) (Penticton),General,Review and revise the existing operational protocols and procedural processes
33,33,Urban Systems (2019) (BC) (Vernon),Stormwater,Determine the overland drainage routes that represent significant hazards
34,34,Stantec (2020) (ON) (Kasabonika),Building,Develop a community cooling center to relocate patients if required
35,35,Stantec (2020) (ON) (Kasabonika),Building,Test efficiencies of heaters and upgrade/replace if needs be
36,36,Stantec (2020) (ON) (Kasabonika),Building,Visually inspect houses and infrastructure roofs for loose shingles and damage
37,37,Stantec (2020) (ON) (Kasabonika),Support Infrastructure,Complete maintenance of culverts
38,38,Stantec (2020) (ON) (Kasabonika),Support Infrastructure,Develop a testing program for lagoon
39,39,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Consider increasing stockpiles/reserves of long-term non-perishable items in the community
40,40,Stantec (2020) (ON) (Kasabonika),General,Apply sand/traction aid in work areas
41,41,Stantec (2020) (ON) (Kasabonika),General,Develop health and safety guidelines for risks associated with smoke and fires
42,42,Novel Futures Corporation and RSI (2019) (MB) (Altona),Drainage Infrastructure,Assign staff capacity to respond to questions from residents following storm events.
43,43,Novel Futures Corporation and RSI (2019) (MB) (Altona),Drainage Infrastructure,Monitoring of grates during high wind events and clearing as needed
44,44,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,Evaluate short-term climate risks to snow through a structural assessment of the roof
45,45,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,Consider the sequencing of new construction with interdependent assets
46,46,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,Establish dimensions and specifications of future ship(s)
47,47,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,Monitor effects of the breached west beach for effects on waves and sediment transport in the harbour
48,48,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,Enhance protection against future breaches new shore protection works
49,49,Stantec (2019) (SK) (Yellow Quill),HVAC Systems,Equip new houses/buildings with air conditioning and HRV
50,50,Stantec (2019) (SK) (Yellow Quill),Water & Wastewater systems,"For new pipe installations, ensure pipes are below maximum frost level in ground"
51,51,Stantec (2019) (SK) (Yellow Quill),General,Develop a Tornado/Severe Weather Alert Warning System for the community
52,52,Stantec (2019) (SK) (Yellow Quill),General,Consider having an emergency satellite communications system if cellular system damaged/unavailable
53,53,WSP (2019) (YT) (Faro),Stormwater,Optimize the road drainage to reduce the impacts of additional frost action
54,54,WSP (2019) (YT) (Faro),General,Conduct additional borehole tests prior to project to confirm permafrost zones
55,55,Landmark (2019) (ON) (Windsor),Dike,Functional and detailed design of the proposed dike improvements should be carried out.
56,56,City of Thunder Bay (2019) (ON) (Thunder Bay),NAN,NAN
57,57,Stantec (2018) (ON) (Oneida),NAN,NAN
58,58,Stantec (2017) (ON) (Akwesasne),NAN,NAN
59,59,CBCL (2020) (NB) (Belledune),NAN,NAN
60,60,CBCL (2020) (NB) (Saint John),NAN,NAN
61,61,WSP (2019) (BC) (Tofino),NAN,NAN
62,62,Prism Engineering (2020) (BC) (Penticton),Electrical,Conduct detailed review of underground ducts
63,63,Prism Engineering (2020) (BC) (Penticton),Mechanical,Ensure any plumbed eye wash stations feature adequate built-in filtration systems
64,64,Prism Engineering (2020) (BC) (Penticton),Mechanical,Conduct engineering study of well water capacity
65,65,Urban Systems (2019) (BC) (Vernon),Stormwater,Include a future climate scenario in the process of preparing floodplain mapping
66,66,Stantec (2020) (ON) (Kasabonika),Building,Consider building a permanent road access to the community
67,67,Stantec (2020) (ON) (Kasabonika),Building,Perform regular O&M plan to maintain HVAC system in optimal operation condition
68,68,Stantec (2020) (ON) (Kasabonika),Building,Install emergency generator
69,69,Stantec (2020) (ON) (Kasabonika),Building,Develop an emergency response plan (ERP) if heating system fails
70,70,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Look for possible alternate sources of power for the community
71,71,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Develop a work plan to inspect wires after ice storms
72,72,Stantec (2020) (ON) (Kasabonika),Third party supplied service,Install weather station at the airport to provide real time weather reporting
73,73,CBCL (2020) (PEI) (Wood Islands),Physical Infrastructure,"Existing maintenance practices should be continued with an emphasis on adapting infrastructure to climate risks, monitoring of weather events and sea level"
74,74,CBCL (2020) (PEI) (Wood Islands),Supporting and O&M Infrastructure,Keep detailed dredging records
75,75,CBCL (2020) (PEI) (Wood Islands),Supporting and O&M Infrastructure,"If dredging frequency/volume appears to change, investigate sediment transport processes and potential alternative dredging strategies"
76,76,Stantec (2019) (SK) (Yellow Quill),HVAC Systems,Install back-up heating system
77,77,Stantec (2019) (SK) (Yellow Quill),HVAC Systems,Develop an emergency response plan
78,78,Stantec (2019) (SK) (Yellow Quill),Water & Wastewater systems,Drain water truck fill piping
79,79,Stantec (2019) (SK) (Yellow Quill),Water & Wastewater systems,"When installing cisterns, add flexible rubber gaskets between well sections"
80,80,Stantec (2019) (SK) (Yellow Quill),Water & Wastewater systems,Install Point of Entry water treatment systems and water disinfection systems
81,81,Stantec (2019) (SK) (Yellow Quill),Roads & Associated Infrastructure,Equip trucks with snowplows to assist with snow removal
82,82,Stantec (2019) (SK) (Yellow Quill),Roads & Associated Infrastructure,Keep emergency routes open - build into emergency response plan
83,83,Stantec (2019) (SK) (Yellow Quill),Buildings,Plan future housing and community building developments on land not susceptible to flooding
84,84,WSP (2019) (YT) (Faro),Wastewater,Ensure adequate horizontal and vertical trench separation between watermains and sanitary sewer mains
85,85,WSP (2019) (YT) (Faro),Stormwater,Installation of the storm sewer pipe to the bottom of the cliff bank at the utility road south of Dawson Drive
86,86,WSP (2019) (YT) (Faro),General,Annual monitoring of the erosion of the cliff using photo logs and relevant measurements
87,87,Landmark (2019) (ON) (Windsor),Dike,Property and/or easements should be acquired where needed for the construction of the proposed dike improvements
88,88,Landmark (2019) (ON) (Windsor),Dike,The City should budget for and implement a policy requiring regular inspections of the diking system and any backflow prevention measures
89,89,Landmark (2019) (ON) (Windsor),General,A follow-up analysis of the water levels is recommended to be carried out prior to the year 2030
90,90,AECOM (2019) (ON) (Toronto),NAN,NAN
91,91,Stantec (2020) (QC) (Magdalen Islands),NAN,NAN
92,92,RSI (2018) (ON) (Mississauga),NAN,NAN
93,93,CBCL (2020) (PEI) (Souris),NAN,NAN
94,94,BGC (2016) (MB) (Churchill),NAN,NAN
95,95,KWL (2019) (BC) (Squamish),NAN,NAN
96,96,CIMA (2020) (QC) (Shawinigan),NAN,NAN
97,97,Prism Engineering (2020) (BC) (Penticton),Mechanical,Perform condition assessment of existing AC units serving FEC/IPU building
98,98,Urban Systems (2019) (BC) (Vernon),Stormwater,The result of this assessment should be integrated into the Drainage Infrastructure Prioritization project
