_id,Study,Province,Location,Infrastructure,Infrastructure Component 1,Infrastructure Component 2,Climate Parameter,Climate Parameter General,Risk,Risk (Current),Risk (Short Term),Risk (Medium Term),Risk (Long Term)
0,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Water System,Stormwater,Temperature,Temperature,High,NAN,NAN,High,NAN
1,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Temperature,Temperature,Low,NAN,NAN,Low,NAN
2,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Runway,Temperature,Temperature,Low,NAN,NAN,Low,NAN
3,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
4,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Temperature,Temperature,Med,NAN,NAN,Med,NAN
5,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Temperature,Temperature,Med,NAN,NAN,Med,NAN
6,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
7,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Temperature,Temperature,Med,NAN,NAN,Med,NAN
8,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Temperature,Temperature,Med,NAN,NAN,Med,NAN
9,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Alaram System,Temperature,Temperature,High,NAN,NAN,High,NAN
10,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Temperature,Temperature,Med,NAN,NAN,Med,NAN
11,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Temperature,Temperature,Med,NAN,NAN,Med,NAN
12,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Lighting,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
13,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Lighting,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
14,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
15,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
16,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
17,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,High,NAN,NAN,High,NAN
18,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,Med,NAN,NAN,Med,NAN
19,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Temperature,Temperature,Med,NAN,NAN,Med,NAN
20,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
21,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Fire Protection,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
