_id,Title,Consulting Company,Client,Location,Year,Infrastructure,Site Visit
0,Altona Climate Resilience Assessment of Existing and Proposed Drainage Infrastructure  ,Novel Futures Corporation and RSI Ltd.,The Town of Altona,"Altona, MB",2019,(SW),Yes
1,Climate Change Impacts on Yellow Quill First Nation Infrastructure,Stantec Consulting Ltd.,Yellow Quill First Nation,"Yellow Quill, SK",2019,"(Bu, PW, WW, RAI, SW, E, F, M)",Yes
2,Distribution System Climate Risk and Vulnerability Assessment,Stantec Consulting Ltd.,Hydro Ottawa,"Ottawa, ON",2019,"(Bu, F, E)",No
3,Churchill Airport Climate Change Vulnerability Assessment,BGC Engineering Inc.,Transport Canada,"Churchill, MB",2016,(AI),Yes
4,"Climate Resilience Assessment : Wastewater Treatment Plant, Conveyance Upgrades, Outfall Upgrades & Residuals Handling Facility",WSP Canada Inc.,District of Tofino,"Tofino, BC",2019,"(WW, RAI)",No
5,"ýýtude des vulnýýrabilitýýs aux impacts climatiques de l'ýýdifice situýý au 3, Passage du Chien d'Or",Stantec Consulting Ltd.,Public Services and Procurement Canada,"Quebec City, QC",2019,NAN,Yes
6,City of Vernon Stormwater Infrastructure PIEVC Assessment Report,Urban System,City of Vernon,"Vernon, BC",2019,(SW),No
7,"Climate Resilience Assessment : Town of Faro Water, Sewer and Road Upgrades - Phase 2 & 3",WSP Canada Inc.,Yukon Government,"Faro, YT",2019,"(RAI, WW, SW, PW)",No
8,East Riverside Flood Risk Assessment,Landmark Engineers Inc,City of Windsor,"Windsor, ON",2019,"(CI, SW)",Yes
9,Climate Change and Extreme Weather Vulnerability Assessment of PortsToronto Assets,AECOM Canada Ltd.,Toronto Port Authority,"Toronto, ON",2019,"(AI, Br, CI)",No
10,PIEVC Assessment of Three City Parks,RSI,City of Mississauga,"Mississauga, ON",2018,"(CI, RLNBI, E, P)",Yes
11,Graham Creek Stormwater Infrastructure PIEVC Study,R.V. Anderson Associates Limited,City of Ottawa,"Ottawa, ON",2017,"(SW, RLNBI, Bu, RI)",No
12,Summerside Solar and Storage Integration Project,WSP Canada Inc.,City of Summerside,"Summerside, PEI",2019,"(RAI, E, M, SW)",No
13,Xwu'nekw Park Sea Dike Climate Lens Resilience Assessment,Kerr Wood Leidal,District of Squamish,"Squamish, BC",2019,(CI),No
14,Climate Change Impacts on the Housing Infrastructure at Oneida Nation of the Thames,Stantec Consulting Ltd.,Ontario First Nations Technical Service Corporation,"Oneida, ON",2018,"(Bu, RAI, WW, F, E, M)",Yes
